front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
شمالية شرقية,5,2,5+,20,1,11,1,0,1,1,1,1,0,1050,0,1,0,0,0,1, حطين ,شمال الرياض,8000000,7619.047619
جنوبية,5,4,5+,20,0,0,1,0,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
غربية,5,3,4,28,1,0,1,0,0,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,11333.33333
شمالية غربية,5,5,5+,30,0,2,1,0,1,1,1,1,0,1750,0,1,1,0,1,0, حطين ,شمال الرياض,30000000,17142.85714
غربية,5,2,2,20,1,0,1,0,0,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,6500000,10833.33333
ثلاث شوارع,7,3,5+,,1,0,0,0,1,1,1,1,0,8581,0,0,0,0,0,0, المعذر ,غرب الرياض,40000000,4661.461368
جنوبية غربية,5,4,5+,28,1,0,1,0,1,1,1,1,0,1100,0,1,1,0,1,0, حطين ,شمال الرياض,10500000,9545.454545
شرقية,5,3,4,20,1,0,1,0,0,1,1,1,0,455,1,1,0,0,1,1, حطين ,شمال الرياض,4500000,9890.10989
شمالية,5,3,4,18,1,0,1,0,1,1,1,1,0,430,0,1,1,0,1,0, حطين ,شمال الرياض,5700000,13255.81395
ثلاث شوارع,7,3,5+,,1,0,0,0,1,1,1,1,0,8581,0,0,0,0,0,0, المعذر ,غرب الرياض,40000000,4661.461368
جنوبية غربية,5,4,5+,28,1,0,1,0,1,1,1,1,0,1100,0,1,1,0,1,0, حطين ,شمال الرياض,10500000,9545.454545
شمالية,5,3,5+,21,1,0,1,1,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,14000000,14507.77202
شرقية,5,3,4,20,1,0,1,0,0,1,1,1,0,455,1,1,0,0,1,1, حطين ,شمال الرياض,4500000,9890.10989
جنوبية,7,3,5+,28,1,0,1,1,1,1,1,1,0,830,0,1,1,0,1,0, حطين ,شمال الرياض,11000000,13253.01205
شمالية,5,3,5+,20,1,0,1,1,1,1,1,1,0,412,0,1,1,0,1,0, حطين ,شمال الرياض,4550000,11043.68932
شرقية,5,3,5+,15,1,0,0,0,1,1,1,1,0,750,2,0,0,0,1,1, حطين ,شمال الرياض,7700000,10266.66667
شرقية,5,3,5+,15,1,0,0,0,1,1,1,1,0,750,2,0,0,0,1,1, حطين ,شمال الرياض,7700000,10266.66667
جنوبية شرقية,7,3,5+,20,1,16,1,0,1,1,1,1,0,2220,0,1,1,1,0,1, الهدا ,غرب الرياض,18000000,8108.108108
غربية,5,3,4,28,0,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,10000
شمالية,6,1,5+,20,1,0,1,0,1,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15000
غربية,5,3,5+,28,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,9714.285714
ثلاث شوارع,5,5,5+,20,0,8,1,0,0,1,1,1,0,5100,0,1,0,0,0,0, حطين ,شمال الرياض,60000000,11764.70588
شمالية,4,2,5+,15,0,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15544.04145
شرقية,5,5,5+,15,1,0,1,1,1,1,1,1,0,427,0,1,1,0,1,1, حطين ,شمال الرياض,6000000,14051.52225
غربية,7,,5+,30,1,0,1,0,1,1,0,1,0,800,0,1,0,0,0,0, حطين ,شمال الرياض,7800000,9750
شرقية,5,2,5+,31,0,0,1,1,1,1,1,1,0,1750,0,1,1,1,1,1, حطين ,شمال الرياض,28000000,16000
شرقية,5,3,5+,15,1,0,1,0,1,1,1,1,0,427,0,1,1,0,1,1, حطين ,شمال الرياض,6500000,15222.48244
شرقية,5,5,5+,25,0,0,1,0,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
جنوبية شرقية,5,2,5+,15,1,5,1,0,0,1,1,1,0,625,2,1,1,0,0,1, حطين ,شمال الرياض,7000000,11200
شمالية,4,2,5+,15,1,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15544.04145
شمالية,5,3,5+,20,1,0,1,0,1,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,12500000,12500
شمالية,5,1,5+,15,1,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15544.04145
شرقية,5,3,4,25,0,0,1,0,0,1,1,1,0,500,0,1,0,1,1,0, حطين ,شمال الرياض,6800000,13600
شمالية,4,3,3,15,0,0,0,0,0,1,0,0,0,325,0,1,1,0,1,0, حطين ,شمال الرياض,4300000,13230.76923
جنوبية غربية,4,3,5+,28,1,0,1,0,1,1,1,1,0,2850,0,1,1,0,1,1, حطين ,شمال الرياض,20000000,7017.54386
شمالية,5,5,5+,30,0,0,1,1,1,1,1,1,0,1750,0,1,1,1,1,1, حطين ,شمال الرياض,29000000,16571.42857
جنوبية غربية,5,2,5+,24,1,2,1,0,1,1,1,1,0,1000,1,1,0,0,1,1, حطين ,شمال الرياض,14000000,14000
شمالية,6,2,5+,20,1,0,1,1,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15544.04145
شمالية,6,5,5+,19,1,0,1,1,1,1,1,1,0,480,0,1,1,0,1,1, حطين ,شمال الرياض,5000000,10416.66667
غربية,4,3,4,15,1,0,0,0,1,1,0,1,0,260,0,0,0,0,0,0,سيه ,شرق الرياض,2200000,8461.538462
شرقية,4,1,5+,15,1,0,1,0,1,1,1,1,0,400,0,1,0,0,0,0, حطين ,شمال الرياض,4000000,10000
شرقية,5,5,5+,30,0,0,1,1,1,1,1,1,1,1750,0,1,1,1,1,1, حطين ,شمال الرياض,29000000,16571.42857
ثلاث شوارع,4,4,4,20,0,6,1,1,1,1,1,1,0,3900,0,1,1,1,1,1, حطين ,شمال الرياض,55000000,14102.5641
جنوبية غربية,5,2,5+,20,1,3,1,1,1,1,1,1,0,1000,1,1,1,1,1,1, حطين ,شمال الرياض,14000000,14000
ثلاث شوارع,5,5,5+,20,1,3,1,0,1,1,1,1,0,3900,1,1,1,0,1,1, حطين ,شمال الرياض,55000000,14102.5641
شرقية,4,2,4,15,1,0,1,1,1,1,1,1,0,750,2,1,1,0,1,1, حطين ,شمال الرياض,7500000,10000
شمالية,5,3,5+,20,1,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,16000000,16580.31088
شمالية,3,,2,5,0,0,0,0,0,1,0,0,0,700,0,0,0,0,0,0, حطين ,شمال الرياض,6800000,9714.285714
أربع شوارع,7,5,5+,,1,5,1,1,1,1,1,1,0,4000,0,1,1,1,1,0, حطين ,شمال الرياض,55000000,13750
غربية,4,3,4,15,1,0,0,0,1,1,0,1,0,260,0,0,0,0,0,0,سيه ,شرق الرياض,2200000,8461.538462
شمالية غربية,6,3,5+,20,1,0,1,0,1,1,1,1,0,1250,2,1,1,0,0,0, حطين ,شمال الرياض,16000000,12800
جنوبية,7,5,5+,15,1,0,1,1,1,1,1,1,0,362,0,1,1,0,1,0, حطين ,شمال الرياض,4100000,11325.96685
شمالية,4,1,5+,20,1,0,1,0,1,1,1,1,0,375,0,1,1,0,0,0, حطين ,شمال الرياض,5500000,14666.66667
شمالية غربية,6,3,5+,20,1,0,1,1,1,1,1,1,0,734,0,1,1,0,1,0, حطين ,شمال الرياض,8300000,11307.90191
جنوبية,5,3,5+,25,1,0,1,0,1,1,0,1,0,500,0,1,1,0,1,1, حطين ,شمال الرياض,5300000,10600
شمالية,4,2,5+,15,1,0,1,0,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15544.04145
جنوبية غربية,5,5,5+,15,1,2,1,1,1,1,1,1,0,1000,0,1,1,1,1,1, حطين ,شمال الرياض,14000000,14000
شمالية غربية,4,3,3,25,1,0,1,0,0,1,0,1,0,736,0,1,1,0,1,0, حطين ,شمال الرياض,8800000,11956.52174
غربية,4,,4,15,1,0,1,0,1,1,1,1,0,405,1,1,1,0,1,0, حطين ,شمال الرياض,5000000,12345.67901
غربية,4,5,5+,20,1,0,1,0,1,1,1,1,0,816,0,1,1,0,1,0, حطين ,شمال الرياض,8500000,10416.66667
شرقية,6,4,5+,25,1,0,1,0,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
شمالية شرقية,7,5,5+,20,1,0,1,1,1,1,1,1,0,1800,0,1,1,0,1,0, حطين ,شمال الرياض,25000000,13888.88889
غربية,6,3,5+,25,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,8200000,11714.28571
شمالية,7,5,5+,15,1,0,1,1,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,14000000,14507.77202
أربع شوارع,7,5,5+,,1,0,1,1,1,1,1,1,0,1800,0,1,1,1,1,1, حطين ,شمال الرياض,13000000,7222.222222
ثلاث شوارع,7,5,5+,27,1,0,1,1,1,1,1,1,0,450,0,1,1,0,1,0, حطين ,شمال الرياض,5000000,11111.11111
جنوبية,4,3,4,20,1,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,11666.66667
غربية,5,4,5+,15,1,0,1,1,1,1,1,1,0,405,1,1,1,0,1,0, حطين ,شمال الرياض,5000000,12345.67901
شمالية,3,2,3,15,0,0,1,0,0,1,0,1,0,325,0,1,1,0,1,0, حطين ,شمال الرياض,4500000,13846.15385
ثلاث شوارع,5,5,5+,20,1,3,1,0,1,1,1,1,0,3900,1,1,1,0,1,1, حطين ,شمال الرياض,55000000,14102.5641
غربية,6,3,5+,28,1,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,6700000,11166.66667
شرقية,5,3,4,12,1,10,1,0,1,1,1,1,0,479,0,1,0,0,1,0, المعذر ,غرب الرياض,4500000,9394.572025
شمالية شرقية,6,2,5+,20,1,0,1,0,1,1,1,1,0,1800,0,1,1,0,1,0, حطين ,شمال الرياض,27000000,15000
ثلاث شوارع,5,5,5+,20,0,8,1,0,0,1,1,1,0,5100,0,1,0,0,0,0, حطين ,شمال الرياض,60000000,11764.70588
غربية,5,1,4,15,1,0,1,0,1,1,1,1,0,405,1,1,1,0,1,0, حطين ,شمال الرياض,5000000,12345.67901
جنوبية شرقية,7,3,5+,20,1,16,1,0,1,1,1,1,0,2220,0,1,1,1,0,1, الهدا ,غرب الرياض,18000000,8108.108108
جنوبية شرقية,5,2,5+,15,1,6,1,0,1,1,1,1,0,625,2,1,1,0,0,1, حطين ,شمال الرياض,6000000,9600
شرقية,5,3,5+,,1,0,1,1,1,1,1,1,0,2800,0,1,1,1,1,1, حطين ,شمال الرياض,23000000,8214.285714
غربية,7,3,5+,30,1,9,0,0,0,1,0,0,0,595,0,0,0,0,0,0, حطين ,شمال الرياض,6000000,10084.03361
